epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1018,2.09728,3.79275,1.84454,0.00407,0.19048,0.00766,0.00439,1.56579,4.10083,1.47952,3e-05,3e-05,3e-05
2,25.4606,1.77805,3.75855,1.62518,0.00357,0.19048,0.05245,0.04215,1.31502,4.06659,1.35843,6.8614e-05,6.8614e-05,6.8614e-05
3,38.9362,1.32799,3.58123,1.38593,0.00378,0.19048,0.15085,0.1111,1.12068,3.9255,1.19508,0.000105644,0.000105644,0.000105644
4,53.0027,1.18373,3.28987,1.29194,0.00826,0.33333,0.16546,0.14254,1.00402,3.7269,1.03376,0.00014109,0.00014109,0.00014109
5,66.3638,1.11068,2.76803,1.2324,0.01429,0.42857,0.18706,0.13871,0.94245,3.60833,1.0132,0.000174952,0.000174952,0.000174952
6,80.5921,1.02782,2.53337,1.17451,0.019,0.52381,0.17999,0.13766,0.96802,3.5419,1.03738,0.00020723,0.00020723,0.00020723
7,94.4406,1.15221,2.37859,1.18438,0.01355,0.35714,0.19872,0.14445,1.06086,3.58474,1.09321,0.000237924,0.000237924,0.000237924
8,111.628,1.13823,2.14467,1.20829,0.87215,0.16667,0.15433,0.12007,1.05062,3.57542,1.10601,0.000267034,0.000267034,0.000267034
9,146.061,1.05375,1.89536,1.18062,0.9293,0.09718,0.21598,0.13108,1.07478,3.48507,1.11008,0.00029456,0.00029456,0.00029456
10,167.035,1.02803,1.7252,1.17348,0.95438,0.14286,0.26572,0.1973,1.00761,3.32096,1.1161,0.000320502,0.000320502,0.000320502
11,179.918,1.01914,1.67784,1.13839,0.95169,0.14286,0.37183,0.26382,1.01752,3.23037,1.0805,0.00034486,0.00034486,0.00034486
12,209.586,1.07871,1.67773,1.2615,0.95917,0.16667,0.36425,0.28171,1.1176,3.15955,1.06968,0.000367634,0.000367634,0.000367634
13,243.748,0.99345,1.46263,1.13768,0.99785,0.16667,0.44561,0.35921,1.17041,3.00286,1.08724,0.000388824,0.000388824,0.000388824
14,281.521,0.98151,1.44297,1.10195,0.99846,0.16667,0.4894,0.38324,1.08372,2.89547,1.08572,0.00040843,0.00040843,0.00040843
15,317.189,0.90995,1.30014,1.08527,0.93997,0.16667,0.58151,0.44097,1.07118,2.74685,1.11412,0.000426452,0.000426452,0.000426452
16,350.907,0.96769,1.33987,1.14457,0.96306,0.16667,0.58654,0.44075,1.12564,2.74272,1.14213,0.00044289,0.00044289,0.00044289
17,384.97,0.92571,1.25503,1.11522,0.96233,0.16667,0.57256,0.43674,1.14887,2.75045,1.16194,0.000457744,0.000457744,0.000457744
18,418.304,0.93705,1.21322,1.11917,0.95501,0.32655,0.74643,0.54174,1.01351,2.53987,1.12261,0.000471014,0.000471014,0.000471014
19,455.439,0.9229,1.20124,1.10264,0.92271,0.4373,0.83842,0.60505,1.02035,2.29845,1.14504,0.0004827,0.0004827,0.0004827
20,489.424,0.89926,1.16648,1.10903,0.90951,0.55733,0.87289,0.59568,1.1568,2.13764,1.15943,0.000492802,0.000492802,0.000492802
21,520.651,0.88491,1.08985,1.06708,0.87903,0.59386,0.87899,0.66299,1.00111,2.03512,1.10754,0.00050132,0.00050132,0.00050132
22,538.194,0.91591,1.1513,1.08089,0.89496,0.57265,0.87137,0.67724,0.94326,2.07995,1.08578,0.000508254,0.000508254,0.000508254
23,571.718,0.92118,1.14132,1.09808,0.88542,0.60264,0.88206,0.66322,0.9911,2.01659,1.10132,0.000513604,0.000513604,0.000513604
24,604.153,0.94791,1.1519,1.12826,0.87049,0.62222,0.8856,0.61961,1.09188,1.89307,1.11589,0.00051737,0.00051737,0.00051737
25,636.169,0.92065,1.10431,1.07544,0.7723,0.6661,0.88425,0.6132,1.10341,1.8097,1.11653,0.000519552,0.000519552,0.000519552
26,657.45,0.88892,1.095,1.09141,0.80444,0.68849,0.8642,0.62433,1.04181,1.75476,1.10236,0.000505,0.000505,0.000505
27,671.117,0.90395,1.06859,1.07566,0.82689,0.61949,0.8215,0.59456,1.05319,1.90912,1.10834,0.0004852,0.0004852,0.0004852
28,684.832,0.83407,1.04082,1.08684,0.81035,0.50558,0.76394,0.53052,1.20819,2.0563,1.13221,0.0004654,0.0004654,0.0004654
29,698.709,0.86901,1.02791,1.05897,0.81297,0.65971,0.82294,0.57466,1.15651,1.77699,1.10917,0.0004456,0.0004456,0.0004456
30,712.222,0.85805,1.01683,1.05609,0.88066,0.85002,0.90282,0.64695,1.04328,1.39041,1.07118,0.0004258,0.0004258,0.0004258
31,725.963,0.83727,1.052,1.07393,0.9309,0.85028,0.91749,0.66517,1.00665,1.2482,1.05744,0.000406,0.000406,0.000406
32,739.899,0.79783,0.91958,1.03551,0.89142,0.84403,0.92174,0.68437,0.98587,1.23281,1.04728,0.0003862,0.0003862,0.0003862
33,753.681,0.83107,0.93629,1.00591,0.94281,0.79624,0.92897,0.70614,0.93409,1.21421,1.03575,0.0003664,0.0003664,0.0003664
34,767.598,0.80021,0.94353,1.03163,0.94609,0.79825,0.9338,0.68804,0.96849,1.18578,1.03993,0.0003466,0.0003466,0.0003466
35,781.723,0.82317,0.98349,1.04624,0.90713,0.84618,0.93649,0.695,0.97718,1.16421,1.03985,0.0003268,0.0003268,0.0003268
